colection_id;colection_handle;colection_title;colection_vendor;colection_product_type;body_html;colection_tags;product_id;product_title;product_sku;product_price;images
1585824432185;ginger-snap-cookies;Crunchy Ginger Snap Cookies;Partake Foods;Cookies;"
This hearty and sweet cookie is full of ginger, spice, and everything nice! These vegan, allergy-friendly &amp; non-GMO cookies are crafted with true love.  



 
";All Cookies,cookie,Crunchy Cookies;15379924418617;6 Boxes;60-07022;29.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Gingersnapcopy.png?v=1600137236<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/SweetPotatoHero.jpg?v=1600137236<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Screen_Shot_2019-09-26_at_5.44.32_PM.png?v=1600137236<p>
1719730962489;double-chocolate-chip-cookies;Crunchy Double Chocolate Chip Cookies;Partake Foods;Cookies;What's better than chocolate? Double chocolate! Rich cocoa cookies mixed with fudgy chips and healthy, whole food ingredients make this cookie an indulgent, worry-free treat.;All Cookies,chocolate chip,cookie,Crunchy Cookies;16946284920889;3 Boxes;30-07169;14.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/DoubleChocolatecopy.png?v=1600137104<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Partake_Product_0177.jpg?v=1600137104<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Screen_Shot_2019-09-26_at_5.48.35_PM.png?v=1600137104<p>
1719730962489;double-chocolate-chip-cookies;Crunchy Double Chocolate Chip Cookies;Partake Foods;Cookies;What's better than chocolate? Double chocolate! Rich cocoa cookies mixed with fudgy chips and healthy, whole food ingredients make this cookie an indulgent, worry-free treat.;All Cookies,chocolate chip,cookie,Crunchy Cookies;16946284855353;6 Boxes;60-07169;29.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/DoubleChocolatecopy.png?v=1600137104<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Partake_Product_0177.jpg?v=1600137104<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Screen_Shot_2019-09-26_at_5.48.35_PM.png?v=1600137104<p>
1819228536889;birthday-cake-cookies;Crunchy Birthday Cake Cookies;Partake Foods;Cookies;"New Recipe: Surprise! It’s a birthday cake cookie you can feel great about—birthday or not. These vegan, allergy-friendly &amp; non-GMO cookies are the gifts that keep on giving.";All Cookies,chocolate chip,cookie,Crunchy Cookies;17907262521401;3 Boxes;30-07183;14.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/KEP_5941copy.png?v=1600137045<p>
1819228536889;birthday-cake-cookies;Crunchy Birthday Cake Cookies;Partake Foods;Cookies;"New Recipe: Surprise! It’s a birthday cake cookie you can feel great about—birthday or not. These vegan, allergy-friendly &amp; non-GMO cookies are the gifts that keep on giving.";All Cookies,chocolate chip,cookie,Crunchy Cookies;17907262488633;6 Boxes;60-07183;29.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/KEP_5941copy.png?v=1600137045<p>
1776407904313;crunchy-cookie-variety-pack;Crunchy Variety Pack (5 Boxes);Partake Foods;Cookies;"You can have everything! With our variety pack, enjoy all of our crave-worthy crunchy cookies!

Snag each of our crave-worthy Crunchy cookies and save some dough while you’re at it! Includes 1 box of each Crunchy flavor: Chocolate Chip, Carrot Cake, Double Chocolate Chip, Gingersnap, Birthday Cake.
";All Cookies,cookie,Crunchy Cookies,Variety Pack;17504673333305;Default Title;90-07060;24.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/crunchyvarietypackcopy.png?v=1606858800<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/ChocChipHero_grande_9cda3905-d718-4331-b36a-a9ba7ea892ff.jpg?v=1606858800<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/SweetPotatoHero_grande_8bb30dda-5921-4429-b619-31a6bdb90f9d.jpg?v=1606858800<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Partake-2019-06-0001.jpg?v=1606858800<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/CarrotHero_grande_bf15df5a-6a73-40c6-9b9a-626a3903f8f0.jpg?v=1606858800<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Partake_Product_0177_600x600_crop_center_bc15a684-f1b1-4118-9364-33ffeea53956.jpg?v=1606858800<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/BC.jpg?v=1606858800<p>
4371657719906;soft-baked-cookie-variety-pack;Soft Baked Variety Pack (3 Boxes);Partake Foods;Cookies;"You can have everything! With our Soft Baked variety pack, enjoy all of our crave-worthy cookies!
Snag each of our crave-worthy Soft Baked cookies and save some dough while you’re at it! Includes 1 box of each Soft Baked flavor: Chocolate Chip, Cookie Butter &amp; Triple Chocolate.
";All Cookies,soft baked,Soft Baked Cookies,Variety Pack;31369041346658;Default Title;90-07473;14.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/softbaked.png?v=1606858476<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/SoftBakedVarietypack_fac1eef5-6b5b-44ab-879f-887677a30c5c.png?v=1606858476<p>
4371700777058;all-the-cookies-variety-pack-8-boxes;All the Cookies! Family Pack (8 Boxes);Partake Foods;Cookies;"You can have everything! With our family pack, enjoy all of our crave-worthy crunchy &amp; soft-baked cookies.
Snag each of our super delicious cookies and save some dough while you’re at it! Includes 1 box of each flavor: Crunchy Chocolate Chip, Carrot Cake, Double Chocolate Chip, Gingersnap, Birthday Cake plus Soft-Baked Cookie Butter, Triple Chocolate &amp; Chocolate Chip.
 
";All Cookies,variety pack;31369351200866;Default Title;90-07459;39.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/allthecookiescopy_982408b5-e329-46dc-b8e3-ffe7434c0968.png?v=1606859249<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/allthecookies.png?v=1606859249<p>
4369844011106;chocolate-chip-soft-baked-cookies;Soft Baked Chocolate Chip Cookies;Partake Foods;Cookies;"Our signature gluten-free &amp; allergy-friendly Chocolate Chip cookies are now soft-baked. Made with better-for-you ingredients and only 2.5 grams of sugar per cookie, this new take on a classic is full of chewy, chocolatey flavor.";All Cookies,Soft Baked,Soft Baked Cookies;31355818180706;3 Boxes;30-07333;14.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/ChocolateChipcopy.png?v=1600137592<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/SBChocchip.png?v=1600137592<p>
4369844011106;chocolate-chip-soft-baked-cookies;Soft Baked Chocolate Chip Cookies;Partake Foods;Cookies;"Our signature gluten-free &amp; allergy-friendly Chocolate Chip cookies are now soft-baked. Made with better-for-you ingredients and only 2.5 grams of sugar per cookie, this new take on a classic is full of chewy, chocolatey flavor.";All Cookies,Soft Baked,Soft Baked Cookies;31355818147938;6 Boxes;60-07333;29.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/ChocolateChipcopy.png?v=1600137592<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/SBChocchip.png?v=1600137592<p>
4369843486818;triple-chocolate-soft-baked-cookies;Soft Baked Triple Chocolate Cookies;Partake Foods;Cookies;Take your love affair with chocolate to the next level with our Triple Chocolate soft baked cookies. Decadent, fudgy cookies full of chocolate chips and chocolate-covered candies for an allergy-friendly, non-GMO treat sweet enough to eat again and again. ;All Cookies,cookie,soft baked,Soft Baked Cookies;31355814838370;3 Boxes;30-07357;14.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/TripleChocolatecopy.png?v=1600137516<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Partake_SoftBaked_TripleChocolate_nutritionals_box.jpg?v=1600137516<p>
4369843486818;triple-chocolate-soft-baked-cookies;Soft Baked Triple Chocolate Cookies;Partake Foods;Cookies;Take your love affair with chocolate to the next level with our Triple Chocolate soft baked cookies. Decadent, fudgy cookies full of chocolate chips and chocolate-covered candies for an allergy-friendly, non-GMO treat sweet enough to eat again and again. ;All Cookies,cookie,soft baked,Soft Baked Cookies;31355814805602;6 Boxes;60-07357;29.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/TripleChocolatecopy.png?v=1600137516<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Partake_SoftBaked_TripleChocolate_nutritionals_box.jpg?v=1600137516<p>
4369843781730;cookie-butter-soft-baked-cookies;Soft Baked Cookie Butter Cookies;Partake Foods;Cookies;These soft and spiced cookies will warm any day. Gluten-free and allergy-friendly, enjoy sweet and buttery cookies full of everything you want in a snack and nothing you don't. ;All Cookies,Soft Baked,Soft Baked Cookies;31355816673378;3 Boxes;30-07340;14.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/KEP_5944copy.png?v=1600137447<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/CookieButter.png?v=1600137447<p>
4369843781730;cookie-butter-soft-baked-cookies;Soft Baked Cookie Butter Cookies;Partake Foods;Cookies;These soft and spiced cookies will warm any day. Gluten-free and allergy-friendly, enjoy sweet and buttery cookies full of everything you want in a snack and nothing you don't. ;All Cookies,Soft Baked,Soft Baked Cookies;32071047479394;6 Boxes;60-07340;29.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/KEP_5944copy.png?v=1600137447<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/CookieButter.png?v=1600137447<p>
